name,ibge_code,state,capital,category_number,label_name,latitude,longitude
Caiana,3110103,MG,Caiana,5,Caiana,-20.6968289779179,-41.9229821868914
Cajuri,3110202,MG,Cajuri,5,Cajuri,-20.7889426719043,-42.7939202734051
"Paraguai Cajuri ",3110202,MG,Cajuri,10,Paraguai,-20.7889426719043,-42.7939202734051
Caldas,3110301,MG,Caldas,5,Caldas,-21.9233359583344,-46.3877891098818
"Laranjeiras de Caldas Caldas ",3110301,MG,Caldas,7,Laranjeiras de Caldas,-21.9233359583344,-46.3877891098818
"Santana de Caldas Caldas ",3110301,MG,Caldas,10,Santana de Caldas,-21.9233359583344,-46.3877891098818
"São Pedro de Caldas Caldas ",3110301,MG,Caldas,15,São Pedro de Caldas,-21.9233359583344,-46.3877891098818
Camacho,3110400,MG,Camacho,5,Camacho,-20.6269158527808,-45.1587926720343
Camanducaia,3110509,MG,Camanducaia,5,Camanducaia,-22.7567463577539,-46.146863289284
"Monte Verde Camanducaia ",3110509,MG,Camanducaia,10,Monte Verde,-22.7567463577539,-46.146863289284
"São Mateus de Minas Camanducaia ",3110509,MG,Camanducaia,15,São Mateus de Minas,-22.7567463577539,-46.146863289284
Cambui,3110608,MG,Cambuí,5,Cambuí,-22.6110971633733,-46.0580193633379
Cambuquira,3110707,MG,Cambuquira,5,Cambuquira,-21.8554097676123,-45.2925205085194
Campanario,3110806,MG,Campanário,5,Campanário,-18.2411235319382,-41.7301317866171
Campanha,3110905,MG,Campanha,5,Campanha,-21.8353567040277,-45.3984486738569
Campestre,3111002,MG,Campestre,5,Campestre,-8.84837535315291,-35.5667177264544
Campina Verde,3111101,MG,Campina Verde,5,Campina Verde,-19.5354556028876,-49.4811690506139
"Honoropolis Campina Verde ",3111101,MG,Campina Verde,10,Honorópolis,-19.5354556028876,-49.4811690506139
Campo Azul,3111150,MG,Campo Azul,5,Campo Azul,-16.5040634892558,-44.8118582138383
Campo Belo,3111200,MG,Campo Belo,5,Campo Belo,-20.8953162458046,-45.2758613611232
"Porto dos Mendes Campo Belo ",3111200,MG,Campo Belo,10,Porto dos Mendes,-20.8953162458046,-45.2758613611232
Campo do Meio,3111309,MG,Campo do Meio,5,Campo do Meio,-21.109325717622,-45.8307571404523
