name,ibge_code,state,capital,category_number,label_name,latitude,longitude
"Cristo Rei Capanema ",4104501,PR,Capanema,10,Cristo Rei,-1.192441995,-47.1751261231344
"Pinheiro Capanema ",4104501,PR,Capanema,15,Pinheiro,-1.192441995,-47.1751261231344
"São Luiz Capanema ",4104501,PR,Capanema,20,São Luiz,-1.192441995,-47.1751261231344
Capitao Leonidas Marques,4104600,PR,Capitão Leônidas Marques,5,Capitão Leônidas Marques,-25.4794684845174,-53.6172110107619
Alto Alegre do Iguacu Capitao Leonidas Marques,4104600,PR,Capitão Leônidas Marques,20,Alto Alegre do Iguaçu,-25.4794684845174,-53.6172110107619
Carambei,4104659,PR,Carambeí,5,Carambeí,-24.950872979957,-50.1130915115041
Carlopolis,4104709,PR,Carlópolis,5,Carlópolis,-23.4277239250352,-49.7187235298862
"Nova Brasília do Itarare Carlopolis ",4104709,PR,Carlópolis,10,Nova Brasília do Itararé,-23.4277239250352,-49.7187235298862
Cascavel,4104808,PR,Cascavel,5,Cascavel,-4.13143367820745,-38.2396859406771
Castro,4104907,PR,Castro,5,Castro,-24.7954175,-50.0028111277611
"Abapa Castro ",4104907,PR,Castro,10,Abapã,-24.7954175,-50.0028111277611
"Socavao Castro ",4104907,PR,Castro,20,Socavão,-24.7954175,-50.0028111277611
Catanduvas,4105003,PR,Catanduvas,5,Catanduvas,-25.1964932494608,-53.1537063668495
Centenario do Sul,4105102,PR,Centenário do Sul,5,Centenário do Sul,-22.8149823509494,-51.5935295600151
Cerro Azul,4105201,PR,Cerro Azul,5,Cerro Azul,-24.818947302786,-49.2603168259064
"São Sebastião Cerro Azul ",4105201,PR,Cerro Azul,10,São Sebastião,-24.818947302786,-49.2603168259064
Ceu Azul,4105300,PR,Céu Azul,5,Céu Azul,-25.1497612093124,-53.8572693830674
Chopinzinho,4105409,PR,Chopinzinho,5,Chopinzinho,-25.8546838487659,-52.5339602074992
"São Francisco Chopinzinho ",4105409,PR,Chopinzinho,10,São Francisco,-25.8546838487659,-52.5339602074992
"São Luiz Chopinzinho ",4105409,PR,Chopinzinho,15,São Luiz,-25.8546838487659,-52.5339602074992
Cianorte,4105508,PR,Cianorte,5,Cianorte,-23.6538131528275,-52.6091508905561
