Coqueiro Seco;2702207;AL;Coqueiro Seco;05;Coqueiro Seco;1058;N;-9.63755427096993;-35.795363001733
Coruripe;2702306;AL;Coruripe;05;Coruripe;1058;N;-10.1265472503749;-36.1760783105118
Poxim Coruripe ;2702306;AL;Coruripe;10;Poxim;1058;N;-10.1265472503749;-36.1760783105118
Craibas;2702355;AL;Craíbas;05;Craíbas;1058;N;-9.61993379738632;-36.7723914019128
Delmiro Gouveia;2702405;AL;Delmiro Gouveia;05;Delmiro Gouveia;1058;N;-9.38457444694075;-37.9992334861769
Dois Riachos;2702504;AL;Dois Riachos;05;Dois Riachos;1058;N;-9.38567081154627;-37.0898496479493
Estrela de Alagoas;2702553;AL;Estrela de Alagoas;05;Estrela de Alagoas;1058;N;-9.38740530657934;-36.7583331109668
Feira Grande;2702603;AL;Feira Grande;05;Feira Grande;1058;N;-9.90043719889156;-36.6776855005338
Feliz Deserto;2702702;AL;Feliz Deserto;05;Feliz Deserto;1058;N;-10.2923806198663;-36.3071875176995
Flexeiras;2702801;AL;Flexeiras;05;Flexeiras;1058;N;-9.27323546004541;-35.7243716385672
Girau do Ponciano;2702900;AL;Girau do Ponciano;05;Girau do Ponciano;1058;N;-9.8873641521582;-36.8303139029901
Ibateguara;2703007;AL;Ibateguara;05;Ibateguara;1058;N;-8.97698521760536;-35.9311844564205
Igaci;2703106;AL;Igaci;05;Igaci;1058;N;-9.53368865946465;-36.62815971645
Igreja Nova;2703205;AL;Igreja Nova;05;Igreja Nova;1058;N;-10.1292988371728;-36.653345012518
Inhapi;2703304;AL;Inhapi;05;Inhapi;1058;N;-9.22389877333184;-37.752636521046
Jacare dos Homens;2703403;AL;Jacaré dos Homens;05;Jacaré dos Homens;1058;N;-9.63665882831559;-37.2078334090177
Jacuipe;2703502;AL;Jacuípe;05;Jacuípe;1058;N;-8.84030050756405;-35.4609975081236
Japaratinga;2703601;AL;Japaratinga;05;Japaratinga;1058;N;-9.08897435434458;-35.2586583540313
Jaramataia;2703700;AL;Jaramataia;05;Jaramataia;1058;N;-9.65835193876392;-37.0035959132308
Jequia da Praia;2703759;AL;Jequiá da Praia;05;Jequiá da Praia;1058;N;-10.0095918935695;-36.0273340429838
Joaquim Gomes;2703809;AL;Joaquim Gomes;05;Joaquim Gomes;1058;N;-9.13597914629409;-35.749030258912
Jundia;2703908;AL;Jundiá;05;Jundiá;1058;N;-8.93887675416228;-35.5555972975355
Junqueiro;2704005;AL;Junqueiro;05;Junqueiro;1058;N;-9.93161038974245;-36.4715218222232
Lagoa da Canoa;2704104;AL;Lagoa da Canoa;05;Lagoa da Canoa;1058;N;-9.83087565650446;-36.7357892600018
Limoeiro de Anadia;2704203;AL;Limoeiro de Anadia;05;Limoeiro de Anadia;1058;N;-9.73861316781449;-36.5038970865
Maceió;2704302;AL;Maceió;05;Maceió;1058;S;-9.66082215163114;-35.7016299134895
Major Isidoro;2704401;AL;Major Isidoro;05;Major Isidoro;1058;N;-9.52664406793994;-36.9847996142241
Riacho do Sertão Major Isidoro ;2704401;AL;Major Isidoro;10;Riacho do Sertão;1058;N;-9.52664406793994;-36.9847996142241
Mar Vermelho;2704906;AL;Mar Vermelho;05;Mar Vermelho;1058;N;-9.44777264348944;-36.3850400240272
Maragogi;2704500;AL;Maragogi;05;Maragogi;1058;N;-9.0154564858241;-35.2230154091319
Barra Grande Maragogi ;2704500;AL;Maragogi;10;Barra Grande;1058;N;-9.0154564858241;-35.2230154091319
Maravilha;2704609;AL;Maravilha;05;Maravilha;1058;N;-9.23399706335314;-37.3566354220481
Marechal Deodoro;2704708;AL;Marechal Deodoro;05;Marechal Deodoro;1058;N;-9.73915570244381;-35.8930686988453
Maribondo;2704807;AL;Maribondo;05;Maribondo;1058;N;-9.57724995600836;-36.3066028985381
Mata Grande;2705002;AL;Mata Grande;05;Mata Grande;1058;N;-9.11480625764182;-37.7252240648916
Matriz de Camaragibe;2705101;AL;Matriz de Camaragibe;05;Matriz de Camaragibe;1058;N;-9.15852582474625;-35.533554829803
Messias;2705200;AL;Messias;05;Messias;1058;N;-9.39181222510958;-35.840378300501
Minador do Negrao;2705309;AL;Minador do Negrão;05;Minador do Negrão;1058;N;-9.30368326063751;-36.864915772472
Monteiropolis;2705408;AL;Monteirópolis;05;Monteirópolis;1058;N;-9.60232753886744;-37.2452720989471
Murici;2705507;AL;Murici;05;Murici;1058;N;-9.31630114434686;-35.947555585677
Novo Lino;2705606;AL;Novo Lino;05;Novo Lino;1058;N;-8.94315880807644;-35.6609637180966
Olho d Agua das Flores;2705705;AL;Olho d'Água das Flores;05;Olho d'Água das Flores;1058;N;-9.532207999999999;-37.2947534
Olho d Agua do Casado;2705804;AL;Olho d'Água do Casado;05;Olho d'Água do Casado;1058;N;-9.503997499999999;-37.830415
Olho d Agua Grande;2705903;AL;Olho d'Água Grande;05;Olho d'Água Grande;1058;N;-10.0575967;-36.8104155
Olivenca;2706000;AL;Olivença;05;Olivença;1058;N;-9.51945648335504;-37.1908187180627
Ouro Branco;2706109;AL;Ouro Branco;05;Ouro Branco;1058;N;-9.163415364026;-37.3544437290231
Palestina;2706208;AL;Palestina;05;Palestina;1058;N;-20.3905874702698;-49.4337823999184
Palmeira dos Indios;2706307;AL;Palmeira dos Índios;05;Palmeira dos Índios;1058;N;-9.4061587984201;-36.6309840973114
Caldeiroes de Cima Palmeira dos Indios ;2706307;AL;Palmeira dos Índios;10;Caldeirões de Cima;1058;N;-9.4061587984201;-36.6309840973114
Canafistula Palmeira dos Indios ;2706307;AL;Palmeira dos Índios;15;Canafístula;1058;N;-9.4061587984201;-36.6309840973114
Pao de Acucar;2706406;AL;Pão de Açúcar;05;Pão de Açúcar;1058;N;-9.74704185025694;-37.435138856573
Limoeiro Pao de Acucar ;2706406;AL;Pão de Açúcar;10;Limoeiro;1058;N;-9.74704185025694;-37.435138856573
Pariconha;2706422;AL;Pariconha;05;Pariconha;1058;N;-9.25788438518493;-38.0098260716315
Paripueira;2706448;AL;Paripueira;05;Paripueira;1058;N;-9.46631347833536;-35.5591051843043
Passo de Camaragibe;2706505;AL;Passo de Camaragibe;05;Passo de Camaragibe;1058;N;-9.24484665799731;-35.4912752632186
Paulo Jacinto;2706604;AL;Paulo Jacinto;05;Paulo Jacinto;1058;N;-9.3733643824119;-36.3727420945597
Penedo;2706703;AL;Penedo;05;Penedo;1058;N;-10.2961102979024;-36.5804602140903
Piacabucu;2706802;AL;Piaçabuçu;05;Piaçabuçu;1058;N;-10.4073624263407;-36.4343520081112
Pilar;2706901;AL;Pilar;05;Pilar;1058;N;-9.60689429266684;-35.9485175199678
Pindoba;2707008;AL;Pindoba;05;Pindoba;1058;N;-9.47621079980144;-36.2865406443458
Piranhas;2707107;AL;Piranhas;05;Piranhas;1058;N;-9.62355920030328;-37.7503929130592
Entremontes Piranhas ;2707107;AL;Piranhas;10;Entremontes;1058;N;-9.62355920030328;-37.7503929130592
Poco das Trincheiras;2707206;AL;Poço das Trincheiras;05;Poço das Trincheiras;1058;N;-9.30291365540457;-37.2792980528473
Porto Calvo;2707305;AL;Porto Calvo;05;Porto Calvo;1058;N;-9.05244831413658;-35.3983344556037
Porto de Pedras;2707404;AL;Porto de Pedras;05;Porto de Pedras;1058;N;-9.15608616311578;-35.2970152177328
Tatuamunha Porto de Pedras ;2707404;AL;Porto de Pedras;10;Tatuamunha;1058;N;-9.15608616311578;-35.2970152177328
Porto Real do Colegio;2707503;AL;Porto Real do Colégio;05;Porto Real do Colégio;1058;N;-10.1737325641911;-36.8246292915239
Quebrangulo;2707602;AL;Quebrangulo;05;Quebrangulo;1058;N;-9.32354705536581;-36.4772220766618
Rio Largo;2707701;AL;Rio Largo;05;Rio Largo;1058;N;-9.48615760833584;-35.8524223085924
Roteiro;2707800;AL;Roteiro;05;Roteiro;1058;N;-9.83218949018835;-35.9812102213933
Santa Luzia do Norte;2707909;AL;Santa Luzia do Norte;05;Santa Luzia do Norte;1058;N;-9.59676774166949;-35.8234877698639
Santana do Ipanema;2708006;AL;Santana do Ipanema;05;Santana do Ipanema;1058;N;-9.3722843627404;-37.2454070203705
Santana do Mundau;2708105;AL;Santana do Mundaú;05;Santana do Mundaú;1058;N;-9.16503322076224;-36.2252341170425
Munguba Santana do Mundau ;2708105;AL;Santana do Mundaú;10;Munguba;1058;N;-9.16503322076224;-36.2252341170425
São Bras;2708204;AL;São Brás;05;São Brás;1058;N;-10.1203099965729;-36.8989486552451
São José da Laje;2708303;AL;São José da Laje;05;São José da Laje;1058;N;-9.01106588188022;-36.0573877321467
São José da Tapera;2708402;AL;São José da Tapera;05;São José da Tapera;1058;N;-9.54939574043675;-37.3837077656992
São Luís do Quitunde;2708501;AL;São Luís do Quitunde;05;São Luís do Quitunde;1058;N;-9.31411736924134;-35.5654908365835
São Miguel dos Campos;2708600;AL;São Miguel dos Campos;05;São Miguel dos Campos;1058;N;-9.77993457613103;-36.0942642743776
São Miguel dos Milagres;2708709;AL;São Miguel dos Milagres;05;São Miguel dos Milagres;1058;N;-9.26718629500207;-35.3691193336324
São Sebastião;2708808;AL;São Sebastião;05;São Sebastião;1058;N;-9.93165738892367;-36.5510919020052
Satuba;2708907;AL;Satuba;05;Satuba;1058;N;-9.56942786775773;-35.8285402270771
Senador Rui Palmeira;2708956;AL;Senador Rui Palmeira;05;Senador Rui Palmeira;1058;N;-9.46339144898312;-37.4536462478126
Tanque d Arca;2709004;AL;Tanque d'Arca;05;Tanque d'Arca;1058;N;-9.5349944;-36.4328486
Taquarana;2709103;AL;Taquarana;05;Taquarana;1058;N;-9.64232010538379;-36.4967676919619
Teotonio Vilela;2709152;AL;Teotônio Vilela;05;Teotônio Vilela;1058;N;-9.90749788301098;-36.3555631422205
Traipu;2709202;AL;Traipu;05;Traipu;1058;N;-9.97105938200651;-37.0060056722452
Uniao dos Palmares;2709301;AL;União dos Palmares;05;União dos Palmares;1058;N;-9.159524116522;-36.0331428428074
Rocha Cavalcante Uniao dos Palmares ;2709301;AL;União dos Palmares;10;Rocha Cavalcante;1058;N;-9.159524116522;-36.0331428428074
Vicosa;2709400;AL;Viçosa;05;Viçosa;1058;N;-9.37705435448976;-36.2483932029197
Anel Vicosa ;2709400;AL;Viçosa;10;Anel;1058;N;-9.37705435448976;-36.2483932029197
Alvaraes;1300029;AM;Alvarães;05;Alvarães;1058;N;-3.21658376906639;-64.8135346775686
Amatura;1300060;AM;Amaturá;05;Amaturá;1058;N;-3.36680518750561;-68.2096146409404
Anama;1300086;AM;Anamã;05;Anamã;1058;N;-3.57637042689027;-61.4059034797501
Anori;1300102;AM;Anori;05;Anori;1058;N;-3.74538558611889;-61.6589553828779
Apui;1300144;AM;Apuí;05;Apuí;1058;N;-7.1978701516076;-59.8856661047188
Atalaia do Norte;1300201;AM;Atalaia do Norte;05;Atalaia do Norte;1058;N;-4.36615748971603;-70.1879892845226
Autazes;1300300;AM;Autazes;05;Autazes;1058;N;-3.57866364177127;-59.1335670918168
Murutinga Autazes ;1300300;AM;Autazes;10;Murutinga;1058;N;-3.57866364177127;-59.1335670918168
Barcelos;1300409;AM;Barcelos;05;Barcelos;1058;N;-0.972801052532191;-62.9256696581026
Barreirinha;1300508;AM;Barreirinha;05;Barreirinha;1058;N;-2.7981498369298;-57.0677504898938
Ariau Barreirinha ;1300508;AM;Barreirinha;10;Ariaú;1058;N;-2.7981498369298;-57.0677504898938
Cameta Barreirinha ;1300508;AM;Barreirinha;12;Cametá;1058;N;-2.7981498369298;-57.0677504898938
Freguesia do Andira Barreirinha ;1300508;AM;Barreirinha;15;Freguesia do Andirá;1058;N;-2.7981498369298;-57.0677504898938
Pedras Barreirinha ;1300508;AM;Barreirinha;20;Pedras;1058;N;-2.7981498369298;-57.0677504898938
Benjamin Constant;1300607;AM;Benjamin Constant;05;Benjamin Constant;1058;N;-4.37498901860391;-70.0273484332765
Beruri;1300631;AM;Beruri;05;Beruri;1058;N;-3.89451340981806;-61.3715708916659
Boa Vista do Ramos;1300680;AM;Boa Vista do Ramos;05;Boa Vista do Ramos;1058;N;-2.97172653158936;-57.5877073464737
Lago Preto Boa Vista do Ramos ;1300680;AM;Boa Vista do Ramos;10;Lago Preto;1058;N;-2.97172653158936;-57.5877073464737
Massauari Boa Vista do Ramos ;1300680;AM;Boa Vista do Ramos;15;Massauari;1058;N;-2.97172653158936;-57.5877073464737
Boca do Acre;1300706;AM;Boca do Acre;05;Boca do Acre;1058;N;-8.75124319609379;-67.3995777566805
Floriano Peixoto Boca do Acre ;1300706;AM;Boca do Acre;10;Floriano Peixoto;1058;N;-8.75124319609379;-67.3995777566805
Borba;1300805;AM;Borba;05;Borba;1058;N;-4.39061989147273;-59.5945590194969
Caapiranga;1300839;AM;Caapiranga;05;Caapiranga;1058;N;-3.3300933919416;-61.2113341331817
Canutama;1300904;AM;Canutama;05;Canutama;1058;N;-6.52910607582614;-64.3942308189288
Carauari;1301001;AM;Carauari;05;Carauari;1058;N;-4.88166590420413;-66.8966352816837
Careiro;1301100;AM;Careiro;05;Careiro;1058;N;-3.82244727004599;-60.3638098437089
Careiro da Varzea;1301159;AM;Careiro da Várzea;05;Careiro da Várzea;1058;N;-3.1973965948696;-59.8263140608339
Coari;1301209;AM;Coari;05;Coari;1058;N;-4.08421915877588;-63.1421839840562
Codajas;1301308;AM;Codajás;05;Codajás;1058;N;-3.84304593273892;-62.0634296604883
Badajos Codajas;1301308;AM;Codajás;10;Badajos;1058;N;-3.84304593273892;-62.0634296604883
Eirunepe;1301407;AM;Eirunepé;05;Eirunepé;1058;N;-6.66735256685182;-69.8662902624416
Envira;1301506;AM;Envira;05;Envira;1058;N;-7.43981754396838;-70.0304125429825
Fonte Boa;1301605;AM;Fonte Boa;05;Fonte Boa;1058;N;-2.51227068454779;-66.0965029898347
Guajara;1301654;AM;Guajará;05;Guajará;1058;N;-7.5477744148336;-72.5824305383396
Humaita;1301704;AM;Humaitá;05;Humaitá;1058;N;-7.51222495061139;-63.0266980219283
Ipixuna;1301803;AM;Ipixuna;05;Ipixuna;1058;N;-7.05098011443721;-71.6944180603084
Iranduba;1301852;AM;Iranduba;05;Iranduba;1058;N;-3.2810538776069;-60.1933881661307
Ariau Iranduba ;1301852;AM;Iranduba;10;Ariaú;1058;N;-3.2810538776069;-60.1933881661307
Cacau Pirera Iranduba ;1301852;AM;Iranduba;15;Cacau Pirêra;1058;N;-3.2810538776069;-60.1933881661307
Lago do Limao Iranduba ;1301852;AM;Iranduba;20;Lago do Limão;1058;N;-3.2810538776069;-60.1933881661307
Paricatuba Iranduba ;1301852;AM;Iranduba;25;Paricatuba;1058;N;-3.2810538776069;-60.1933881661307
